"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*04yib*","Brett Baty","NYM","1B,2B,3B,OF","299","FA","26","@SEA Wed 3:40PM","74","1.28","50%","-5%"
"*06dqd*","Ben Williamson","TB","2B,3B","302","FA","25","DET Wed 1:10PM","74","1.68","13%","-1%"
"*041mb*","Anthony Kay","CHW","SP,RP","303","FA","31","@MIN Wed 1:40PM","73.92","6.16","45%","-4%"
"*05ycf*","Noah Cameron","KC","SP","304","FA","26","@CIN Wed 7:10PM","73.69","6.7","73%","0%"
"*02hj7*","Merrill Kelly","ARI","SP","305","FA","37","LAD Wed 9:40PM","73.6","8.18","77%","-3%"
"*04ai4*","Nolan Gorman","STL","2B,3B","308","FA","26","TEX Wed 7:45PM","72","1.26","46%","-5%"
"*05tce*","Connor Norby","MIA","1B,3B","311","FA","25","@WSH Wed 1:05PM","72","1.36","37%","-2%"
"*06bs4*","Daniel Schneemann","CLE","2B,3B,OF","313","FA","29","@NYY Wed 7:05PM","72","1.47","33%","-7%"
"*05135*","Jake Mangum","PIT","OF","309","FA","30","@HOU Wed 8:10PM","72","1.67","19%","0%"
"*03avk*","Luis Rengifo","MIL","2B,3B","312","FA","29","SF Wed 7:40PM","72","1.47","17%","-1%"
"*03whq*","Ty France","SD","1B","307","FA","31","@PHI Wed 6:40PM","72","1.85","10%","0%"
"*05139*","Michael Massey","KC","2B","310","FA","28","@CIN Wed 7:10PM","72","1.6","8%","0%"
"*04mlr*","Jeffrey Springs","ATH","SP","315","FA","33","@CHC Wed 8:05PM","71.89","5.99","72%","-4%"
"*025j1*","Robbie Ray","SF","SP","316","FA","34","@MIL Wed 7:40PM","71.68","5.97","92%","-3%"
"*02bzn*","Colin Rea","CHC","SP","317","FA","35","ATH Wed 8:05PM","71.58","5.96","43%","-3%"
"*05133*","Andre Pallante","STL","SP","318","FA","27","TEX Wed 7:45PM","71.14","6.47","42%","-3%"
"*04mra*","Ezequiel Tovar","COL","SS","322","FA","24","@LAA Wed 9:38PM","71","1.18","61%","-1%"
"*01t9q*","Gary Sanchez","MIL","C","321","FA","33","SF Wed 7:40PM","71","2.09","23%","-4%"
"*03b6k*","Jorge Mateo","ATL","2B,SS","320","FA","30","TOR Wed 7:15PM","71","1.87","22%","0%"
"*04up9*","Heriberto Hernandez","MIA","OF","319","FA","26","@WSH Wed 1:05PM","71","1.92","11%","+1%"
"*04pvu*","Stephen Kolek","KC","SP","324","FA","29","@CIN Wed 7:10PM","70.23","14.05","52%","-5%"
"*05js5*","Coby Mayo","BAL","1B,3B","326","FA","24","@BOS Wed 6:45PM","70","1.43","43%","-1%"
"*0516n*","Isaac Collins","KC","OF","325","FA","28","@CIN Wed 7:10PM","70","1.35","26%","-2%"
"*02yh5*","Amed Rosario","NYY","3B","327","FA","30","CLE Wed 7:05PM","70","2.19","12%","-1%"
"*0629b*","Walbert Urena","LAA","SP","328","FA","22","COL Wed 9:38PM","69.63","6.96","53%","+1%"
"*02zoa*","Antonio Senzatela","COL","SP,RP","330","FA","31","@LAA Wed 9:38PM","69.44","4.08","51%","-3%"
"*029us*","Christian Vazquez","HOU","C","331","FA","35","PIT Wed 8:10PM","69","1.73","16%","-1%"
"*04rzp*","Rico Garcia","BAL","RP","332","FA","32","@BOS Wed 6:45PM","68.69","2.45","69%","-2%"
"*05a1v*","Keider Montero","DET","SP,RP","333","FA","25","@TB Wed 1:10PM","68.13","6.19","47%","-5%"
"*05r9j*","Marcelo Mayer","BOS","2B,3B","334","W <small>(Wed)</small>","23","BAL Wed 6:45PM","68","1.26","56%","-1%"
"*05rc3*","Masataka Yoshida","BOS","OF,UT","335","FA","32","BAL Wed 6:45PM","68","1.62","15%","0%"
"*05y23*","Tanner Bibee","CLE","SP","337","FA","27","@NYY Wed 7:05PM","67.77","5.21","90%","-3%"
"*03ab0*","Luis Severino","ATH","SP","340","FA","32","@CHC Wed 8:05PM","66.68","5.56","52%","-11%"
"*05r3a*","Brandon Young","BAL","SP","342","FA","27","@BOS Wed 6:45PM","66.19","8.27","27%","-1%"
"*04ppo*","Kyle Isbel","KC","OF","343","FA","29","@CIN Wed 7:10PM","66","1.29","22%","-2%"
